good,better,best
bad,worse,worst
far,farther,further
little,less
small,smaller
old,older,elder
addendum,addenda,addendums
alumna,alumnae
alumnus,alumni
analysis,analyses
antenna,antennae,antennas
antithesis,antitheses
apex,apices,apexes
appendix,appendices,appendixes
axis,axes
bacillus,bacilli
bacterium,bacteria
basis,bases
beau,beaux,beaus
bureau,bureaux,bureaus
cactus,cacti,cactus,cactuses
child,children
château,châteaux,châteaus
codex,codices
concerto,concerti,concertos
corpus,corpora
crisis,crises
criterion,criteria,criterions
curriculum,curricula,curriculums
datum,data
deer,deers
diagnosis,diagnoses
die,dice,dies
dwarf,dwarves,dwarfs
ellipsis,ellipses
erratum,errata
faux,pas,faux,pas
fez,fezzes,fezes
fish,fishes
focus,foci,focuses
foot,feet,foot
formula,formulae,formulas
fungus,fungi,funguses
genus,genera,genuses
goose,geese
graffito,graffiti
grouse,grouses
half,halves
hoof,hooves,hoofs
hypothesis,hypotheses
index,indices,indexes
larva,larvae,larvas
libretto,libretti,librettos
loaf,loaves
locus,loci
louse,lice
man,men
matrix,matrices,matrixes
medium,media,mediums
memorandum,memoranda,memorandums
minutia,minutiae
mouse,mice
nebula,nebulae,nebulas
nucleus,nuclei,nucleuses
oasis,oases
offspring,offsprings
opus,opera,opuses
ovum,ova
ox,oxen
parenthesis,parentheses
phenomenon,phenomena,phenomenons
phylum,phyla
prognosis,prognoses
quiz,quizzes
radius,radii,radiuses
referendum,referenda,referendums
salmon,salmons
scarf,scarves,scarfs
self,selves
stimulus,stimuli
stratum,strata
syllabus,syllabi,syllabuses
symposium,symposia,symposiums
synopsis,synopses
tableau,tableaux,tableaus
thesis,theses
thief,thieves
tooth,teeth
trout,trouts
tuna,tunas
vertebra,vertebrae,vertebras
vertex,vertices,vertexes
vita,vitae
vortex,vortices,vortexes
wharf,wharves,wharfs
wife,wives
wolf,wolves
woman,women
abide,abode,abided
alight,alit,alighted
arise,arose,arisen
awake,awoken,awakened,awoke
backbite,backbitten,backbit
backslide,backslid,backslidden
be,been,was,were
bear,bore,born,borne
beat,beaten
become,became
befall,befallen,befell
beget,begat,begotten,begot
begin,begun,began
behold,beheld
bend,bent
bereave,bereft,bereaved
beseech,beseeched,besought
bestrew,bestrewed,bestrewn
bet,betted
betake,betook,betaken
bethink,bethought
bid,bade,bidden
bind,bound
bite,bitten,bit
bleed,bled
blow,blown,blew
break,broke,broken
breed,bred
bring,brought
broadcast,broadcasted
browbeat,browbeaten
build,built
burn,burnt,burned
bust,busted
buy,bought
catch,caught
chide,chidden,chided,chid
choose,chosen,chose
clap,clapt,clapped
cling,clung
clothe,clad,clothed
colorbreed,colorbred
come,came
creep,crept
crossbreed,crossbred
dare,dared,durst
daydream,daydreamt,daydreamed
deal,dealt
dig,dug
dight,dighted
disprove,disproved,disproven
dive,dove,dived
dive,dove,dived
do,done,did
draw,drawn,drew
dream,dreamt,dreamed
drink,drank,drunk
